,Trend
2016-02-14,66
2016-02-15,71
2016-02-16,73
2016-02-17,71
2016-02-18,86
2016-02-19,71
2016-02-20,72
2016-02-21,70
2016-02-22,73
2016-02-23,71
2016-02-24,68
2016-02-25,67
2016-02-26,66
2016-02-27,65
2016-02-28,62
2016-02-29,64
2016-03-01,70
2016-03-02,67
2016-03-03,73
2016-03-04,66
2016-03-05,67
2016-03-06,62
2016-03-07,69
2016-03-08,65
2016-03-09,63
2016-03-10,60
2016-03-11,59
2016-03-12,60
2016-03-13,60
2016-03-14,66
2016-03-15,66
2016-03-16,64
2016-03-17,64
2016-03-18,61
2016-03-19,54
2016-03-20,57
2016-03-21,63
2016-03-22,65
2016-03-23,63
2016-03-24,62
2016-03-25,60
2016-03-26,58
2016-03-27,57
2016-03-28,64
2016-03-29,67
2016-03-30,63
2016-03-31,65
2016-04-01,29
2016-04-02,28
2016-04-03,29
2016-04-04,28
2016-04-05,30
2016-04-06,29
2016-04-07,30
2016-04-08,29
2016-04-09,28
2016-04-10,31
2016-04-11,32
2016-04-12,31
2016-04-13,29
2016-04-14,29
2016-04-15,29
2016-04-16,28
2016-04-17,27
2016-04-18,28
2016-04-19,30
2016-04-20,31
2016-04-21,32
2016-04-22,34
2016-04-23,31
2016-04-24,33
2016-04-25,35
2016-04-26,36
2016-04-27,34
2016-04-28,38
2016-04-29,34
2016-04-30,32
2016-05-01,31
2016-05-02,100
2016-05-03,60
2016-05-04,43
2016-05-05,46
2016-05-06,40
2016-05-07,36
2016-05-08,35
2016-05-09,37
2016-05-10,38
2016-05-11,35
2016-05-12,34
2016-05-13,33
2016-05-14,31
2016-05-15,30
2016-05-16,32
2016-05-17,33
2016-05-18,33
2016-05-19,34
2016-05-20,32
2016-05-21,30
2016-05-22,30
2016-05-23,32
2016-05-24,31
2016-05-25,31
2016-05-26,33
2016-05-27,36
2016-05-28,41
2016-05-29,46
2016-05-30,46
2016-05-31,47
2016-06-01,42
2016-06-02,39
2016-06-03,43
2016-06-04,43
2016-06-05,39
2016-06-06,43
2016-06-07,42
2016-06-08,39
2016-06-09,39
2016-06-10,38
2016-06-11,38
2016-06-12,56
2016-06-13,69
2016-06-14,56
2016-06-15,49
2016-06-16,61
2016-06-17,61
2016-06-18,53
2016-06-19,49
2016-06-20,51
2016-06-21,59
2016-06-22,51
2016-06-23,54
2016-06-24,78
2016-06-25,53
2016-06-26,47
2016-06-27,48
2016-06-28,44
2016-06-29,44
2016-06-30,45
2016-07-01,58
2016-07-02,55
2016-07-03,57
2016-07-04,54
2016-07-05,56
2016-07-06,55
2016-07-07,58
2016-07-08,59
2016-07-09,73
2016-07-10,59
2016-07-11,56
2016-07-12,52
2016-07-13,51
2016-07-14,48
2016-07-15,45
2016-07-16,44
2016-07-17,46
2016-07-18,46
2016-07-19,48
2016-07-20,46
2016-07-21,43
2016-07-22,43
2016-07-23,40
2016-07-24,42
2016-07-25,43
2016-07-26,46
2016-07-27,50
2016-07-28,45
2016-07-29,43
2016-07-30,42
2016-07-31,45
2016-08-01,50
2016-08-02,59
2016-08-03,100
2016-08-04,65
2016-08-05,53
2016-08-06,48
2016-08-07,49
2016-08-08,50
2016-08-09,48
